Id,Name,"Parent Id","Group Name","Owner Id","Tax code","Account Id",account_number,"Payment term Label","Internal rating Id"
3379,"Creative Concepts & GiveAGetA",,,1,,3050,23691,,
3380,"Creative Promotional Products",,,1,,3051,170669,,
3381,"Creative Solutions",,,1,,3052,170769,,
3382,"CROSS COUNTRY SPECIALTY ADVERTISING ",,,1,,3053,25429,,
3383,"C & S Sales ",,,1,,3054,155110,,
3384,"Culver Company",,,1,,3055,19403,,
3385,"Custom Images",,,1,,3056,173152,,
3386,Customink.com,,,1,,3057,173408,,
3387,"Custom Logos",,,1,,3058,173183,,
3388,"Custom Logos",,,1,,3059,30166,,
3389,"Custom Source Marketing",,,1,,3060,173235,,
3390,"Custom Specialties, Inc",,,1,,3061,173252,,
3391,"Dakota Awards",,,1,,3062,174193,,
3392,"Dakota Promotions & Printing",,,1,,3063,32022,,
3393,"Dakota Screen Arts Inc",,,1,,3064,174205,,
3394,"Daniels Imprinted Sportswear",,,1,,3065,175150,,
3395,"Daniels Promotional Products",,,1,,3066,175150,,
3396,"DARLING PROMO ",,,1,,3067,297517,,
3397,"DAVIS & STANTON, Inc. ",,,1,,3068,176850,,
3398,"Daytona Sportswear, Inc.",,,1,,3069,30876,,
3399,"DBG PROMOTIONS",,,1,,3070,181297,,
3400,"DBM Specialties",,,1,,3071,173692,,
3401,"DEI ROSSI MARKETING",,,1,,3072,178198,,
3402,"Direct Designs",,,1,,3073,181024,,
3403,"Discount Favors ",,,1,,3074,31380,,
3404,DISCOUNTMUGS.COM,,,1,,3075,27102,,
3405,"DME Delivers",,,1,,3076,36892,,
3406,"Dream Big Promotions",,,1,,3077,32609,,
3407,"Drive Marketing",,,1,,3078,183590,,
3408,Drumwork,,,1,,3079,24911,,
3409,"Duane Svec Promotions",,,1,,3080,183650,,
3410,"Dynamic Advertising Solutions",,,1,,3081,34408,,
3411,"Eagle Promotions",,,1,,3082,19167,,
3412,"Echo ",,,1,,3083,185758,,
3413,"Eco imprints/ Wishbone Creative",,,1,,3084,362466,,
3414,ECompanyStore,,,1,,3085,185782,,
3415,"E Group, Inc.",,,1,,3086,184795,,
3416,"E & J Specialties, Inc",,,1,,3087,184935,,
3417,"Elevate Brand Marketing",,,1,,3088,35812,,
3418,"Elite Promotional",,,1,,3089,172899,,
3419,"ELK Promotions Inc.",,,1,,3090,186310,,
3420,"Embroideme - Phoenix, AZ",,,1,,3091,384167,,
3421,Embroidme,,,1,,3092,24113,,
3422,"EmbroidMe - Phoenix, AZ",,,1,,3093,384167,,
3423,"Emerald Print Management",,,1,,3094,32707,,
3424,"Epicor ",,,1,,3095,24865,,
3425,Epicor,,,1,,3096,24865,,
3426,"ESD & Associates",,,1,,3097,185064,,
3427,"Eskimo Joes Promotional Products",,,1,,3098,189402,,
3428,"ETA - Commerical",,,1,,3099,16948,,
3429,"Eugene Silkscreen, Inc ",,,1,,3100,189925,,
3430,"Event Network, LLC.",,,1,,3101,30078,,
3431,"Evergreen Business Solutions",,,1,,3102,190246,,
3432,"EXCITE PROMOS, INC.",,,1,,3103,232498,,
3433,"EXCLUSIVLEY YOURS INC",,,1,,3104,190830,,
3434,"Express Company",,,1,,3105,190952,,
3435,"Express Printing",,,1,,3106,190966,,
3436,"Express Yourself, Inc.",,,1,,3107,31510,,
3437,"Fantastic Fabrics, Inc.",,,1,,3108,191881,,
3438,"FarFromBoring Promotions",,,1,,3109,192001,,
3439,"Faux Pas Prints, Inc.",,,1,,3110,192555,,
3440,"Financial Supply Center Inc.",,,1,,3111,23334,,
3441,"Fine Promotions Inc",,,1,,3112,194115,,
3442,"Fingerprint Promotions",,,1,,3113,194171,,
3443,Firesign,,,1,,3114,194443,,
3444,"Fire Smart Promotions",,,1,,3115,194530,,
3445,"First Impression Inc #027721",,,1,,3116,194452,,
3446,"Fiveboro Printing, LLC",,,1,,3117,194735,,
3447,"Flat Rate Printing & Promos",,,1,,3118,195043,,
3448,"Flicker Promotions",,,1,,3119,140863,,
3449,"Flow State Marketing Inc.",,,1,,3120,36823,,
3450,FlyWheel,,,1,,3121,212986,,
3451,"Forbes Marketing Group",,,1,,3122,196090,,
3452,"FormSystems, Inc.",,,1,,3123,24969,,
3453,"Forte Promotional Marketing",,,1,,3124,36080,,
3454,"Freedom Promotional Products",,,1,,3125,198274,,
3455,"Fuse Graphics",,,1,,3126,166137,,
3456,"Fusion, LLC",,,1,,3127,199836,,
3457,"FZ NETWORK PROMOTION",,,1,,3128,282421,,
3458,"GACO Inc. dba GACO sourcing",,,1,,3129,200216,,
3459,"GAP Promotions",,,1,,3130,199882,,
3460,"Gator Garb Inc.",,,1,,3131,202667,,
3461,"Geiger ",,,1,,3132,202900,,
3462,"General Commerical Corp",,,1,,3133,203760,,
3463,"Genuity Concepts",,,1,,3134,199861,,
3464,"Genumark Promotional Merch",,,1,,3135,25457,,
3465,"Get Noticed Promotions",,,1,,3136,204945,,
3466,"G & G Outfitters, Inc.",,,1,,3137,24225,,
3467,Gimmees.com,,,1,,3138,326007,,
3468,"Glazer Design LLC",,,1,,3139,208261,,
3469,"GNP Specialties, Inc.",,,1,,3140,200020,,
3470,"Golden Applexx Co., Inc. ",,,1,,3141,31061,,
3471,"Golden Glove Promotions KT",,,1,,3142,209371,,
3472,"Gold-Mark Promotions, LLC",,,1,,3143,209277,,
3473,"Goldner Associates ",,,1,,3144,209800,,
3474,"Goldner Associates - Florida",,,1,,3145,209800,,
3475,"Gonzalez Office Products",,,1,,3146,548086,,
3476,"GoodImprints Motorsports ",,,1,,3147,30458,,
3477,"Go Promotions ",,,1,,3148,211820,,
3478,"Gorilla Marketing",,,1,,3149,212051,,
3479,"Go USA ",,,1,,3150,218882,,
3480,"Grapevine Designs",,,1,,3151,212829,,
3481,"Graphically Speaking",,,1,,3152,31271,,
3482,"GRAPHIC CONNECTION ",,,1,,3153,212854,,
3483,"Graphic Consumer Services",,,1,,3154,212858,,
3484,"Grayling Group LLC",,,1,,3155,213134,,
3485,"GREAT AMERICAN",,,1,,3156,213138,,
3486,"Great Ideas!",,,1,,3157,213155,,
3487,"Green Street Promotions",,,1,,3158,213762,,
3488,"GREENWOOD OFFICE OUTFITTERS ",,,1,,3159,37326,,
3489,"GROGGY DOG",,,1,,3160,215211,,
3490,"Guderian Business Forms",,,1,,3161,32472,,
3491,"Halo Branded Solutions",,,1,,3162,356000,,
3492,"HDS Marketing ",,,1,,3163,353000,,
3493,"Headway Promotional Marketing",,,1,,3164,222430,,
3494,"HEALTH IMPRESSIONS ",,,1,,3165,222437,,
3495,"HEART OF TEXAS ENTERPRISES ",,,1,,3166,222465,,
3496,"Heritage Advertising",,,1,,3167,25830,,
3497,"Heritage,Inc.",,,1,,3168,19894,,
3498,"Heritage Press",,,1,,3169,224605,,
3499,"Hero Solutions, Inc.",,,1,,3170,224682,,
3500,"HF CUSTOMS ",,,1,,3171,35489,,
3501,"HICORP ",,,1,,3172,224885,,
3502,"High Desert Promotions and Printing",,,1,,3173,262415,,
3503,"Hines Products Corp.",,,1,,3174,225300,,
3504,"Hitex Marketing Group",,,1,,3175,20107,,
3505,"Holden Custom Products",,,1,,3176,226065,,
3506,Holeintheroof.com,,,1,,3177,226061,,
3507,"Holsen Inc.",,,1,,3178,226281,,
3508,"HOMER MILLER COMPANY ",,,1,,3179,271800,,
3509,"Horizon Promotional Products",,,1,,3180,261070,,
3510,"HOUSTON PROMOTIONS ",,,1,,3181,228444,,
3511,"Howard Roe Company",,,1,,3182,309700,,
3512,"H S A Enterprises",,,1,,3183,217302,,
3513,"HSA Enterprises",,,1,,3184,217302,,
3514,Hullabaloo,,,1,,3185,229143,,
3515,"Hygrade Business Group",,,1,,3186,268150,,
3516,"IBF Group",,,1,,3187,26630,,
3517,"ICB Marketing Solutions",,,1,,3188,19955,,
3518,"Ice Blue Advertising",,,1,,3189,229390,,
3519,"Ideal Images",,,1,,3190,20010,,
3520,"Ideascope Inc.",,,1,,3191,229520,,
3521,"Ideas Unlimited ",,,1,,3192,229780,,
3522,"Ideas Unlimited",,,1,,3193,229780,,
3523,Idegy,,,1,,3194,229805,,
3524,"Identify Yourself",,,1,,3195,232242,,
3525,"Identity Marketing Group",,,1,,3196,28322,,
3526,"IMAGE IMPACT Inc",,,1,,3197,230080,,
3527,"Image Masters",,,1,,3198,19518,,
3528,"IMAGENATION PROMO'L GROUP, INC.",,,1,,3199,230205,,
3529,ImageNowByMahar,,,1,,3200,23986,,
3530,"Image source",,,1,,3201,230121,,
3531,"Image Source",,,1,,3202,230121,,
3532,"Imagination Branding ",,,1,,3203,230166,,
3533,"Imagination Branding",,,1,,3204,230166,,
